nft_name,nft_id,owner_name,owner_DID,owner_address
Proof of Synth and Time #272,nft1qryr2lra6505ah8grxt7xpegjz2e3kkevdzg3u7dpjtdm5vju8zqc90pyj,cheesy_xch,did:chia:127wfmryse9ygnwwfyptz2ndydzax3y5hk9hhlud7gwn0qdy2nfzq8vuw9c,xch1yswn5zegehz0az227xgmhwvlph4w2sxn8zlrk7cwfkepfda5v3hsc2ncq3
Retro-EVO POSAT #203,nft1jd0m9wztp904dakc945yta6ndulx2sdjmcm9kvmdga73jxyuq2psrz3p89,cheesy_xch,did:chia:127wfmryse9ygnwwfyptz2ndydzax3y5hk9hhlud7gwn0qdy2nfzq8vuw9c,xch12mcn33st86qathneqrm97rcayrclp8kxkjzzzcmplq9ctzr3qdzsunqyez
Retro-EVO POSAT #289,nft1568savh5uw9qcwpcz6edk62ylqfem9p0npn0w846sup7cncjz5ssqvjnxy,cheesy_xch,did:chia:127wfmryse9ygnwwfyptz2ndydzax3y5hk9hhlud7gwn0qdy2nfzq8vuw9c,xch1yswn5zegehz0az227xgmhwvlph4w2sxn8zlrk7cwfkepfda5v3hsc2ncq3
Retro-EVO POSAT #12,nft12g4nuc8y6lwc88637g84ktukszw3q9ecr7j6r8jswwtyeh5epwts3vcpsp,🌱 Aquankh 💧,did:chia:13kz9usgwlfltae6vh4sn24agtc30zuqqx8a0tlmt2r7alk9ysgzqxe87ts,xch1htsukhsh2yrp5mqa344qya3xpqgenad9xcmfyaj3drl0hadgu80qw9q3yv
Proof of Synth and Time #83,nft1jtwhnemg0r8p8ln2aszmxxdpvr5da3k37a45grx32y3y9r3ke5lsukjcra,Unclaimed DID,did:chia:13n2enxuvqz9pqsq0e6v3kjpqmc9mhqcsxq3qqrez497kxc9x84uq0dhmjg,xch1xef2kj5dd5kln6ncwl0saupu9q9mk0yjwmvu2fnflk60z6cgqmdsqjl7hy
Retro-EVO POSAT #132,nft1j46u846ua7lwgetuke3h2lrju2n6j7x52e3ln200tqkhu44ut5wq2d97ry,CatskillNFT,did:chia:15p6u50z8z6j65zjuzxpynke3nmlsvzh3axuehx6v9kd44tdeuqaqt9r2ep,xch1mueuqcejua85xuh6gcz5ehnlh9ayytc3p9l4drhn0pazsrtlp93sv2zv54
Proof of Synth and Time #29,nft19rgc68whh85knst78hlvpnzgdn992uv6cv8mzt0rt5g8sctnf3gqtjzjet,9x9 [NFT-Collector],did:chia:166gc98f2dzf5ekexwl43nmcspd9m0jmfkm5rs767a79jm7qphxssevvhwe,xch14kvh0fmerc599srjwclg3tfagn5p0cxtsm344u8m2rh0vlzc58vqrda89j
Retro-EVO POSAT #86,nft19ws976lfrp5c0pu0j6p97n6l566476hy3nt5tfg2ynrxtxuf36nshnl6jn,9x9 [NFT-Collector],did:chia:166gc98f2dzf5ekexwl43nmcspd9m0jmfkm5rs767a79jm7qphxssevvhwe,xch15f3a3900mv0y76ezsgt88kk6xfa0lp2rxsnr66s27rkfzma4jzyq6xf72n
Retro-EVO POSAT #182,nft1t2kf25ly996wy37jlf3x2qu9lmst9l8vecyf66jnef5t49xj8xyqz8an5e,Poor Man's Chia Farm (Random Stuff),did:chia:18lt75eylnmvf6mfmf9rnu7f50dr39qwpz8e8953u80asqye4v27qe0nazu,xch18gv7heuvaq6c897wtufjvem9e0zstzfqwxcnrankekt6x7uc0fjsnd00f3
Proof of Synth and Time #288,nft1dqd5e0ej2phmtfrsylr8p699mysu35tpg68mh9a3swrh5fmgw06szzeeva,Unclaimed DID,did:chia:18ykz6xqpqjn9jf7c7nw6ncrs7lwk8gjz0cpd65587p74dhv95axqxmmvnd,xch18rult469ez3ch7qfdtjd2pkked9hsdjfp89zfhfn29lyue2uepzst78wrh
