nft_name,nft_id,owner_name,owner_DID,owner_address
Retro-EVO POSAT #81,nft1dyms3p77pyp9gq2f7qpsyf4xask8dumk3jlkljhn75y3adwecemqlcg4yk,🌱Royalties Guaranteed🌱,did:chia:1qcxuhk9zy9sn59tcf6pvkmqeseup28m58njfwjmtgz5p53udplvqz2a7qf,xch10vm40fvqvcvj67znceshypzye3r0kmm5stmh6k2mgj97wsrjcassvcwgmg
Retro-EVO POSAT #121,nft1hl3dz06lm06keetrlhv3er03xr3v5y42a6ts08zx4tglrqgf6rmqxth9gz,leafy_k,did:chia:1ukh47h6lsrprztdnan2ecvphxku9cpm9pe8rr2c3cxk0ldlhl63qu9485h,xch1ec7ad0x7utez8uu45luxc8juj6qyttd34ycu58jrlnp2x0yu7t4s3vaa6n
Proof of Synth and Time #77,nft1tu24whum6g8epd8xte9k02pdrrja0waqmxh6cjqr3huvk3j6y0ssvs8rac,Martian News Network,did:chia:1vree4lzghmfzmx44rckf8jawjgt2mlklda0xhjtjxzchur0z9gcsuc394n,xch1jnznad3pqz38pu9rs20h4svvgm0lasnufm4c4kn297dhd3fj2c0sfpz09m
Retro-EVO POSAT #148,nft1pvtzqh2gmudxtkm89c7uzmuvjk05hfzy34nfe6sld63sycm8me0ql4u87y,Synthwave Andy,did:chia:1whapdrythg450xezlhxrnvgj8pac5w7f755z9pn0fv58xgl8l2lsgxl5mh,xch1s9m787u72rx4xxht2vgc3ezhyv56vmxs34slrt2p00d3vlx04n9qp9yzkn
Retro-EVO POSAT #41,nft1kd0mvjn7pd44fxfwkzymjf5hxfj94davcaj46wny6n02d2c2xynqlzrhtz,Mobius924,did:chia:1y4urvcm2htcwj7yh5ezxg4f6alshd29g3ldst5fdj0h9y29lj3gq5x75nl,xch1vc7hvh6wfwufdww8kkuu585qr30nkqu5nda32aqwxwpz0n0q5d0q60cp23
Retro-EVO POSAT #103,nft1jpvzxvd7v7ardha6kkv0qz205ta97ayd5qwhgynv08txhzq0vswsep8huw,Homeisfire,did:chia:1yz9te4wrh6a3gy20tecf2n4exc7t8dua0d2ztjde8dsfyatnq7csh82grz,xch16jmav6pdl7ptrgafna6rdcclspwnf20y5chlwmgjeyyej2xyqyqsejdvpg
Proof of Synth and Time #48,nft12swrhtk036936asxyzqwc39h4x3kzv475v3c9arx5xc8zhesjyqs76lpe7,🐂*Daryl*🐂,did:chia:1z49jng37mn4karenscwqt54nlv97hhhrs7sf7vjpgpv8hj92p9qs4q4vpg,xch18xwxq9246vlky8pxflvaj92d5qnh2nxf5qmgswpgndn2gf3lgh2s8lcr9z
Proof of Synth and Time #150,nft124ppud02jkvzq0phv47ds3ynu64es0z60797m62jdqttpnpw6w6sldg3ej,🐂*Daryl*🐂,did:chia:1z49jng37mn4karenscwqt54nlv97hhhrs7sf7vjpgpv8hj92p9qs4q4vpg,xch1wf9nq28q4484uhz077mseje3csxrp3y3mhaqdcxw5pvkd8gq58xqnv9kcc
Retro-EVO POSAT #163,nft1gz0zeqvjanz0vj5zxhj6aasfvvfkevpcg0lm6qt4tka7mx7ga7ysydxnkq,🐂*Daryl*🐂,did:chia:1z49jng37mn4karenscwqt54nlv97hhhrs7sf7vjpgpv8hj92p9qs4q4vpg,xch1sxznxu0u8p04f2x7zpvd6hfv7054eg2x8nuexvv24kcfd2vad4dsklp9e0
Retro-EVO POSAT #96,nft16h7l0853pmr8dq9j7vel0lxvwyeh7yl9rtggqujl2k820f764y8q5sgtzr,LoganicusMaximus,did:chia:1zatkfkjpc7ujfr59838euchygr772vnqu7grc0zlwfde5yjjfuxs3galmy,xch1cmf75x9yqnv3p9n7j6nwcmkqnhn23a0s8c9xfrp89hn2ggjaeeuqzterfh
Retro-EVO POSAT #100,nft1f4us6tf6mg74xsa2f7a9jrvrdrtttw6xfjhmpey782tk474q8jsszw379l,LoganicusMaximus,did:chia:1zatkfkjpc7ujfr59838euchygr772vnqu7grc0zlwfde5yjjfuxs3galmy,xch1cmf75x9yqnv3p9n7j6nwcmkqnhn23a0s8c9xfrp89hn2ggjaeeuqzterfh
Proof of Synth and Time #56,nft1g6gz7dw79ntl397vjv5vpardr76erwnh0gxxy2l35r9uuw3pd0jspx4gda,LoganicusMaximus,did:chia:1zatkfkjpc7ujfr59838euchygr772vnqu7grc0zlwfde5yjjfuxs3galmy,xch1cmf75x9yqnv3p9n7j6nwcmkqnhn23a0s8c9xfrp89hn2ggjaeeuqzterfh
Proof of Synth and Time #99,nft1pz8kx7qyj94ggky3nrcur5uk3dfdk49d4zqqteapcntp8lxvudmqhf2gxj,LoganicusMaximus,did:chia:1zatkfkjpc7ujfr59838euchygr772vnqu7grc0zlwfde5yjjfuxs3galmy,xch1cmf75x9yqnv3p9n7j6nwcmkqnhn23a0s8c9xfrp89hn2ggjaeeuqzterfh
SynthBro SE,nft1zexckp4cj7j8xjfjdvdmz8qt20uzqfuqyqgcqadzkz8ym7ruan4q9d0n0v,LoganicusMaximus,did:chia:1zatkfkjpc7ujfr59838euchygr772vnqu7grc0zlwfde5yjjfuxs3galmy,xch16t49xahf3ttp3fw4yt6neu755mshenm0va5jyg7mlf56pka0g24qqaw2fa
Retro-EVO POSAT #107,nft1m9rjaw5lczsmn58hwecgtfvfs8apm7c4pq0ease37rea2k350jcsf28ypu,LoganicusMaximus,did:chia:1zatkfkjpc7ujfr59838euchygr772vnqu7grc0zlwfde5yjjfuxs3galmy,xch1cmf75x9yqnv3p9n7j6nwcmkqnhn23a0s8c9xfrp89hn2ggjaeeuqzterfh
Retro-EVO POSAT #196,nft1ga66qmnu4jehv0pgjgf4rgxwuz4jwvdypegk0awq2y62mnznp3qqtlvr9z,LoganicusMaximus,did:chia:1zatkfkjpc7ujfr59838euchygr772vnqu7grc0zlwfde5yjjfuxs3galmy,xch1cmf75x9yqnv3p9n7j6nwcmkqnhn23a0s8c9xfrp89hn2ggjaeeuqzterfh
Retro-EVO POSAT #62,nft13ykg7e9yjdpspx65y4dgfz0q0s3h9l9jc4um2xjj0z4ctqvdepkq73vvuc,LoganicusMaximus,did:chia:1zatkfkjpc7ujfr59838euchygr772vnqu7grc0zlwfde5yjjfuxs3galmy,xch1cmf75x9yqnv3p9n7j6nwcmkqnhn23a0s8c9xfrp89hn2ggjaeeuqzterfh
Proof of Synth and Time #256,nft1zxn5x7kasvkpkwkf4pezmhmagda87z572l8sqdyz9rp7n6dsr64s6fmchq,Quirky Giraffes - The collector,did:chia:1zhwaq0dmu2mpmccsze9av7aavw2000vj9r8860yqvw2e37snqqlqvu6dv7,xch1n7lsyu962cwhpd8d3ytggep69uyusng9f8r0gx2htrkmflf4rlnsjmwgzt
Retro-EVO POSAT #16,nft198thfvact7d8g8fn4pz8nurv0hlqkq7s4vm4k7x5llfgmq8xh30sc9f6m5,Quirky Giraffes - The collector,did:chia:1zhwaq0dmu2mpmccsze9av7aavw2000vj9r8860yqvw2e37snqqlqvu6dv7,xch1gcepaks5ph3zhgfnh63ukn2yt2cususs46mfkhxx6hgj096qynwsxgvkfu
Proof of Synth and Time #155,nft18e6wt94ljal8ywgtke2neu2de8wkdxlaz5d5qgltxj2yv8555v7szxrpxy,Unclaimed DID,did:chia:1zjlmmgsympk5snf7pmx4320qytnkdn7fc7zc5ddhwkk3q8pva8uq5racpt,xch1ha3muhpde679nvgy3qtpkz8fdyqmvvmuxs4z06qm8yte63v9cz7qt3uhcx
Proof of Synth and Time #199,nft1fzj80n7cqwd0eefq3hsjtr4tsymdgt5lx24ccqsppvsrlq9p2t5shvlsdk,Unclaimed DID,did:chia:1zjlmmgsympk5snf7pmx4320qytnkdn7fc7zc5ddhwkk3q8pva8uq5racpt,xch1ha3muhpde679nvgy3qtpkz8fdyqmvvmuxs4z06qm8yte63v9cz7qt3uhcx
Retro-EVO POSAT #219,nft1swysp6nwr8p5l33sx97ve99amujcvhnz2ru3t5yl3x97qcf7frwslr0usv,Unclaimed DID,did:chia:1zjlmmgsympk5snf7pmx4320qytnkdn7fc7zc5ddhwkk3q8pva8uq5racpt,xch1ha3muhpde679nvgy3qtpkz8fdyqmvvmuxs4z06qm8yte63v9cz7qt3uhcx
