owner_name,NFTs_owned_count,owner_DID,owner_address
Aalae Benali ,1,did:chia:1rkwfgxrvlv37dkaml9acqtac97052juv7xku00jwjf3d2ts0897se0wt3n,xch1zw6up0rea7ezy0nms74fp4mtvmqwzvpdmvwurherqjv2q2af42tq7d3cdh
Drewski,34,did:chia:1tedggf7wqc0amxyjdwz43mku0gu7y40dscszh0pvp6wwcuarlphq8jhv4l,xch1rf7jdugk0qprr2w9rkk7qh6nse2al03ljrczs0tw72l23s8rf83sj5gs3v
leafy_k,1,did:chia:1ukh47h6lsrprztdnan2ecvphxku9cpm9pe8rr2c3cxk0ldlhl63qu9485h,xch1u8t2k728m8twwy8exf9tr5xxa4g3x94y2m5anegnreush5t50tqq0ttprs
Synthwave Andy,7,did:chia:1whapdrythg450xezlhxrnvgj8pac5w7f755z9pn0fv58xgl8l2lsgxl5mh,xch1vhu36u0s506u4yc75qn2es3p3ad3hapkz67m0hyyagk867yjxtts8m54mc
matholamew,6,did:chia:1x4fs7ynpkt52nk0y7e7f9ye84msq27yxr042ehhjrj6rem80xj4qmh6sfg,xch1xdacduwkwrw6ztm4ssf867d7nklgmvy77uakgk4ppm69w0473a5sn74phl
Mobius924,1,did:chia:1y4urvcm2htcwj7yh5ezxg4f6alshd29g3ldst5fdj0h9y29lj3gq5x75nl,xch1vc7hvh6wfwufdww8kkuu585qr30nkqu5nda32aqwxwpz0n0q5d0q60cp23
Homeisfire,2,did:chia:1yz9te4wrh6a3gy20tecf2n4exc7t8dua0d2ztjde8dsfyatnq7csh82grz,xch1etu0qc7p62geg7glswdg0mggaw4dhcth4gj0e3g7pwm0x9aah6rqd222gm
🐂*Daryl*🐂,3,did:chia:1z49jng37mn4karenscwqt54nlv97hhhrs7sf7vjpgpv8hj92p9qs4q4vpg,xch18xwxq9246vlky8pxflvaj92d5qnh2nxf5qmgswpgndn2gf3lgh2s8lcr9z
LoganicusMaximus,8,did:chia:1zatkfkjpc7ujfr59838euchygr772vnqu7grc0zlwfde5yjjfuxs3galmy,xch1cmf75x9yqnv3p9n7j6nwcmkqnhn23a0s8c9xfrp89hn2ggjaeeuqzterfh
Quirky Giraffes - The collector,1,did:chia:1zhwaq0dmu2mpmccsze9av7aavw2000vj9r8860yqvw2e37snqqlqvu6dv7,xch1n7lsyu962cwhpd8d3ytggep69uyusng9f8r0gx2htrkmflf4rlnsjmwgzt
