nft_name,nft_id,owner_name,owner_DID,owner_address
Retro-EVO POSAT #170,nft1gdj55zpvk0vh8fy4n38857eprjtrg0v4amsfcuzpnuxtjktw7hcqfqh3qx,Synthwave Andy,did:chia:1whapdrythg450xezlhxrnvgj8pac5w7f755z9pn0fv58xgl8l2lsgxl5mh,xch1vhu36u0s506u4yc75qn2es3p3ad3hapkz67m0hyyagk867yjxtts8m54mc
Retro-EVO POSAT #148,nft1pvtzqh2gmudxtkm89c7uzmuvjk05hfzy34nfe6sld63sycm8me0ql4u87y,Synthwave Andy,did:chia:1whapdrythg450xezlhxrnvgj8pac5w7f755z9pn0fv58xgl8l2lsgxl5mh,xch1s9m787u72rx4xxht2vgc3ezhyv56vmxs34slrt2p00d3vlx04n9qp9yzkn
Retro-EVO POSAT #198,nft1q7d3uu504hfjd97cw9mg9j8a83u765z05esc6uu9espgechhy63qtdwz9v,Synthwave Andy,did:chia:1whapdrythg450xezlhxrnvgj8pac5w7f755z9pn0fv58xgl8l2lsgxl5mh,xch1cqs8rpae27ewsj7g4kkgzrj7aexqkjpjw932l6ey8pcrvs3gktls4vdah6
Retro-EVO POSAT #268,nft1r2vd9xpnm2k9zslapzgxplecen7qpkn463cc0zyjak2dlm6ckzesmghys8,Synthwave Andy,did:chia:1whapdrythg450xezlhxrnvgj8pac5w7f755z9pn0fv58xgl8l2lsgxl5mh,xch1g7g4h350zxypg0gmmfx4s3qats0vvqqavv5tuyh6xsmdw3jyc65sqrzprz
Retro-EVO POSAT #189,nft18rp3uxl8cc5kh8canpdlmd6rzpv2qlu6ky4uxn234clwmrn04huqezul5m,Synthwave Andy,did:chia:1whapdrythg450xezlhxrnvgj8pac5w7f755z9pn0fv58xgl8l2lsgxl5mh,xch13d6zyv0ylyk9ta5jqs7hfecmd9tvq8pwwwg04mzx8j7cnd7z8ksq02kfve
Retro-EVO POSAT #213,nft1m0046f0d35unv7nxm6kj08n2u7qtqzqun69wkpa5vzzewm9h4j5qrth84r,Synthwave Andy,did:chia:1whapdrythg450xezlhxrnvgj8pac5w7f755z9pn0fv58xgl8l2lsgxl5mh,xch1dqe9akdjwczs0wdh4t8fuex5ktpcytj6q7czlc7a4p7yg8qxewgq3vj5yq
SyntHexizer #33,nft15t6sxehg9pcxf40xcw986h8ukxqnw7lcxqqvyadptz38q933n5eq05dqge,Synthwave Andy,did:chia:1whapdrythg450xezlhxrnvgj8pac5w7f755z9pn0fv58xgl8l2lsgxl5mh,xch1g08g2u5rnypqa23wvcccn2ny7kqv5gvpx3hcsy437cjwe06chwkqckvur5
