nft_name,nft_id,owner_address
Proof of Synth and Time #33,nft1ykl7htrza8vxuulj7lqwz4a2tgxln50dnkwk2a999zugnjfu63ysp3xmt2,xch1789rf3wgdvfpvzct4g52uqufzrpu9ftxz2lustchj8fs6d235qwq6m39jr
Proof of Synth and Time #32,nft1vx4eq0002hu2n3js4hufqat9zy6wu6dm55swl04vk24nl2w0r8psf8sh4p,xch1eyr0fhfa2r8xg68p0n2fp43uekzze4vmgpmdftmyhj8qfkrpq4dqzh98m0
Proof of Synth and Time #26,nft1t9g2klm3vdvdy74zlqsddt8yr2cmf6v69gl8xm0y6h6kljfx3wms4tflsg,xch1eyr0fhfa2r8xg68p0n2fp43uekzze4vmgpmdftmyhj8qfkrpq4dqzh98m0
Proof of Synth and Time #75,nft1g07f8207mx3uugxvrjgu92p8vfygv00aeljfacjhz0pxzx6kfrdqq4lf0f,xch1vk4a269ceekfsxxf23f255tkz59gyqu9mxht9za38c4glncvxces3e0x82
Proof of Synth and Time #74,nft1azw3e80zap0elha3lht3wndl20j5v9lpk6ve7dm8dt54ne7cggdqmmw2nl,xch1vk4a269ceekfsxxf23f255tkz59gyqu9mxht9za38c4glncvxces3e0x82
Proof of Synth and Time #70,nft1t0nezt4jkt6n5hajxsyx2gdtckxs2qm3t5k7xcsw38hqwfhzj46qfx8krv,xch1vk4a269ceekfsxxf23f255tkz59gyqu9mxht9za38c4glncvxces3e0x82
Proof of Synth and Time #68,nft1xyv6nee8dvdslvantatrl4edjhxex6e5e8t56ncq0ttvqa58ld8q5lmyz7,xch1vk4a269ceekfsxxf23f255tkz59gyqu9mxht9za38c4glncvxces3e0x82
Proof of Synth and Time #67,nft1rq44g46zm38vmvqha0wa36c4d3qs45w3zw3nyea7d9pzpw0zq3uq6wwaea,xch1vk4a269ceekfsxxf23f255tkz59gyqu9mxht9za38c4glncvxces3e0x82
Proof of Synth and Time #64,nft1mnu53trw86sshllhehtc76my5p4mvq7lastzgwr0x6hnz64lzk5ql7whmf,xch1vk4a269ceekfsxxf23f255tkz59gyqu9mxht9za38c4glncvxces3e0x82
Proof of Synth and Time #63,nft1p4zc4xe29qdm8q2t7jz2gg9qmjed0h3xz4cgu3d9mec2rx9gxqxstzn2wt,xch1vk4a269ceekfsxxf23f255tkz59gyqu9mxht9za38c4glncvxces3e0x82
Proof of Synth and Time #62,nft1hfth2x55l3wjcku5ysl5xtxavcm78rn2daw7ds5xgdhl7346gn6qd5kjea,xch1vk4a269ceekfsxxf23f255tkz59gyqu9mxht9za38c4glncvxces3e0x82
Proof of Synth and Time #61,nft1gjx3mrhrdr6pg5ryqftale2zf50vnz7tyjj63yelxwjtf50u2xpsq3hjwq,xch1vk4a269ceekfsxxf23f255tkz59gyqu9mxht9za38c4glncvxces3e0x82
Proof of Synth and Time #59,nft1fshamr6pdm4qslygejyw3hl2e926zynzwfusq2nmfuv5wu7qjhqqlc8ewm,xch1vk4a269ceekfsxxf23f255tkz59gyqu9mxht9za38c4glncvxces3e0x82
Proof of Synth and Time #55,nft1cxggvsukw523l87dpyrm46v8c4hhc9c8wrea4j2pgd3tzqtsl38shv4g3n,xch1vk4a269ceekfsxxf23f255tkz59gyqu9mxht9za38c4glncvxces3e0x82
Proof of Synth and Time #51,nft1v9rd7g474jmc4l04l8szdr4uyma6u07qzp3m8jmjss0n5htfhfyqtc3792,xch1vk4a269ceekfsxxf23f255tkz59gyqu9mxht9za38c4glncvxces3e0x82
Proof of Synth and Time #98,nft1hyedct8kugl9ltaq2pz774z2jw2h096qfp8gldnp6pwxglgyanzq8xajq8,xch1nznvpl7g45vw35nj8sm8z3cc3szx58uk8wzxykjen7ctphjaz2xqnmw7kr
Proof of Synth and Time #97,nft1qztug8nq0wue2mlzsvwz6g0mf5zfps0amcvscl2xy9p5d7rsyw2q8p4mkt,xch18j0562tazv8peqgf5tc68yh80me9p57a43wzag28aw6uea2s7fwq8mgthw
Proof of Synth and Time #94,nft1zk8l4kyk2lpsa2wehn39ptrte3y5u6fyeu6zlptknghe2zhcp6dqrhsrn8,xch17ulkuzkk6rjjd55qnl7rmx4j3zqk9fux9csasc323ngd3uvnje9qa3kg0u
Proof of Synth and Time #93,nft17wnuen759pc3gt2gva6ya7q8r4ehzslsyard5h3d875um69z6mcqewksu0,xch1nznvpl7g45vw35nj8sm8z3cc3szx58uk8wzxykjen7ctphjaz2xqnmw7kr
Proof of Synth and Time #90,nft1tv7wle2knhq42hwxqc0vn0qc467gvargawq060nrmwa4njdhkc3se73scp,xch1nznvpl7g45vw35nj8sm8z3cc3szx58uk8wzxykjen7ctphjaz2xqnmw7kr
Proof of Synth and Time #89,nft1af88rqw9mzrmy7ym0vat075r43pvwusm4443h96rf8q28wc98c8sll96hx,xch1nznvpl7g45vw35nj8sm8z3cc3szx58uk8wzxykjen7ctphjaz2xqnmw7kr
Proof of Synth and Time #88,nft13gnlgfrtc5gu3a7vn4annlq2knc0c4tjhgmaclmsek4x3sz3u8ds8nscvc,xch1nznvpl7g45vw35nj8sm8z3cc3szx58uk8wzxykjen7ctphjaz2xqnmw7kr
Proof of Synth and Time #87,nft1da8tcnx6g74njy7m29vt3crrkzukpkmsrqcmh2g8dr74g2dpa34ssg2kps,xch1nznvpl7g45vw35nj8sm8z3cc3szx58uk8wzxykjen7ctphjaz2xqnmw7kr
